구분,25년 1월,25년 2월,25년 3월,25년 4월,25년 5월,25년 6월,25년 7월,25년 8월,25년 9월,25년 10월,25년 11월,25년 12월,26년 1월,26년 2월,26년 3월,26년 4월,26년 5월,26년 6월,26년 7월,26년 8월,26년 9월,26년 10월,26년 11월,26년 12월
① 기초현금,"54,804","92,268","117,941","72,699","42,985","42,848","83,270","116,171","183,424","178,254","161,087","224,422","270,714","315,758","406,889","408,998","410,676","506,975","535,262","567,381","576,633","542,301","522,911","627,092"
② 영업 CASH FLOW,"66,170","27,158","-13,770","71,215","24,543","41,549","40,190","60,604","14,493","9,234","58,971","79,310","41,281","67,312","26,893","25,294","97,024","32,320","32,925","9,627","-14,613","-1,400","103,921","67,582"
영업현금흐름,"66,170","27,158","-13,770","71,215","24,543","41,549","40,190","60,604","14,493","9,234","58,971","79,310","41,281","67,312","26,893","25,294","97,024","32,320","32,925","9,627","-14,613","-1,400","103,921","67,582"
③ 투자 CASH FLOW,"-3,567","-1,419","-31,407","-100,854","-4,611","-1,127","-7,289","6,649","-19,663","-26,401","4,364","-33,018","3,763","23,819","-24,784","-23,616",-725,"-4,033",-806,-375,"-19,719","-17,990",260,"4,702"
부동산(서초사옥),,,,,,,,,,,,,,,,,,,,,,,,
   - 부동산 운영손익,,,,,,,,,,,,,,,,,,,,,,,,
DV Int'l 마스터라이선스 인수,,,,,,,,,,,,,,,,,,,,,,,,
HC행위제한 자산 매입,,,,,,,,,,,,,,,,,,,,,,,,
법인세납부,,,"-29,173","-33,780","-4,645",,"-2,760",,"-19,986","-19,986",,,,,"-40,510","-44,520",,"-3,970",,,"-17,400","-17,400",,
배당,,,,"-63,893",,,,,,,,,,,,"-101,200",,,,,,,,
자사주매입,,,,,,,,,,,,,,,,,,,,,,,,
자회사투자,,,"-3,670",,,,"-2,748","-2,799",,"-4,218",,"-26,498",-400,"25,686",400,,,,,,,,,"11,416"
F&F ENT,"-1,000","-1,100","-1,000","-1,000",-500,"-1,000","-1,500",,,,,,,,,,,,,,,,,
부동산-사옥,-261,-740,"-1,540",-523,-648,-291,-220,,,"-2,411","4,988",,,,"13,800","124,400",,,,,,,,
물류센터,,-140,,,,,,,,,"-1,108",,,,,,,,,,,,,
브랜드투자,,,,,,,,,,,,,,,,,,,,,,,,
빅텐츠매각,,,,,,,,,,,,,,,,,,,,,,,,
TMG 매입,,,,,,,,,,,,,,,,,,,,,,,,
CAPEX - 매장,"-3,664",-518,-426,"-1,695","-1,247",-430,"-1,462",-977,"-2,124","-1,923",-562,-611,"-1,128",-518,-426,"-1,695","-1,247",-430,"-1,462",-977,"-2,124","-1,923",-562,-611
CAPEX - IT infra,-263,-291,-385,-839,,-39,-139,-354,-461,-49,-35,-43,-32,-291,-385,-839,,-39,-139,-354,-461,-49,-35,-43
사옥임차(큰길타워),,,,,,,,,,,,,,,,,,,,,,,,
금융투자,,,"1,290",,,-38,,422,"1,340",-36,,,,,,,,,,,,,,
원천세/퇴직연금/보증금등,"2,621","1,370","3,497",876,"2,429",671,"1,540",572,"1,568","2,222","1,081","-5,866","5,323","-1,058","2,337",238,522,406,795,956,266,"1,382",857,"-6,060"
"TM EQUITY(3,580억, 27년만기)",,,,,,,,,,,,,,,,,,,,,,,,
"TM MEZZ (1,957억, 5%, 27년만기)",,,,,,,,"9,785",,,,,,,,,,,,,,,,
④ 조달 CASH FLOW,"-25,139",-66,-65,-75,"-20,069", - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - 
"산업 4.55%, 중도상환완료",,,,,,,,,,,,,,,,,,,,,,,,
"농협 4.65%, 중도상환완료",,,,,,,,,,,,,,,,,,,,,,,,
시중은행 일반대 or CP,,,,,"-20,000",,,,,,,,    ,,,,,,,,,,,
"한도대750억(신한350, 농협 300, 국민 100)","-25,000",,,,,,,,,,,,,,,,,,,,,,,
"CP(삼성 3.89%, 3M고정)",,,,,,,,,,,,,,,,,,,,,,,,
"외부조달(1,050억, 4%대)",,,,,,,,,,,,,,,,,,,,,,,,
"브릿지론(4%,주선수수료0.2%)",,,,,,,,,,,,,,,,,,,,,,,,
브릿지론 이자/수수료,,,,,,,,,,,,,,,,,,,,,,,,
PRS 수수료,,,,,,,,,,,,,,,,,,,,,,,,
이자비용,,-139,-66,-65,-75,-69,,,,,,,,,,,,,,,,,,
조달후 기말잔액,,,,,,,,,,,,,"315,758","406,889","408,998","410,676","506,975","535,262","567,381","576,633","542,301","522,911","627,092","699,376"
      기말잔액(KRW),,,,,,,,,,,,,"203,760","216,584","205,761","184,241","210,286","238,573","259,276","268,528","234,196","198,510","212,867","270,981"
      기말잔액(USD),,,,,,,,,,,,,"98,438","124,628","98,942","98,942","98,942","98,942","98,942","98,942","98,942","98,942","98,942","112,137"
      기말잔액(CNY),,,,,,,,,,,,,"13,560","65,676","104,295","127,493","197,746","197,746","209,162","209,162","209,162","225,458","315,282","316,258"
투자금융상품,"216,804","216,804","216,804","216,804","216,804","216,804","216,804","216,804","216,804","216,804","216,804","216,804","216,804","216,804","216,804","216,804","216,804","216,804","216,804","216,804","216,804","216,804","216,804","216,804"
합계,,,,,,,,,,,,,"532,562","623,693","625,802","627,480","723,779","752,066","784,185","793,437","759,105","739,715","843,896","916,180"
OC 차입금 잔액,,,,,,,,,,,,, - , - , - , - , - , - , - , - , - , - , - , - 
